Order Date,Category,Sales,Profit
2024-01-01,Technology,220,55
2024-01-02,Furniture,175,40
2024-01-03,Office Supplies,125,25
2024-01-04,Technology,255,65
2024-01-05,Furniture,195,45
2024-01-06,Office Supplies,145,30
2024-01-07,Technology,265,70
2024-01-08,Furniture,205,50
2024-01-09,Office Supplies,135,28
2024-01-10,Technology,295,80
2024-01-11,Furniture,225,55
2024-01-12,Office Supplies,155,35
2024-01-13,Technology,315,90
2024-01-14,Furniture,235,60
2024-01-15,Office Supplies,165,38
2024-01-16,Technology,345,100
2024-01-17,Furniture,255,65
2024-01-18,Office Supplies,175,40
2024-01-19,Technology,365,110
2024-01-20,Furniture,275,70
2024-01-21,Office Supplies,185,45
2024-02-01,Technology,395,120
2024-02-02,Furniture,295,80
2024-02-03,Office Supplies,205,50
2024-02-04,Technology,415,130
2024-02-05,Furniture,315,85
2024-02-06,Office Supplies,215,55
2024-02-07,Technology,445,140
2024-02-08,Furniture,335,90
2024-02-09,Office Supplies,225,60
2024-02-10,Technology,465,150
2024-02-11,Furniture,355,95
2024-02-12,Office Supplies,235,65
2024-02-13,Technology,495,160
2024-02-14,Furniture,375,100
2024-02-15,Office Supplies,255,70
2024-03-01,Technology,515,170
2024-03-02,Furniture,395,110
2024-03-03,Office Supplies,265,75
2024-03-04,Technology,545,180
2024-03-05,Furniture,415,115
2024-03-06,Office Supplies,285,80
2024-03-07,Technology,575,190
2024-03-08,Furniture,435,120
2024-03-09,Office Supplies,305,85
2024-03-10,Technology,595,200
2024-03-11,Furniture,455,130
2024-03-12,Office Supplies,325,90
2024-03-13,Technology,625,210
2024-03-14,Furniture,475,140
2024-03-15,Office Supplies,345,95
2024-04-01,Technology,645,220
2024-04-02,Furniture,495,150
2024-04-03,Office Supplies,355,100
2024-04-04,Technology,675,230
2024-04-05,Furniture,515,160
2024-04-06,Office Supplies,365,105
2024-04-07,Technology,695,240
2024-04-08,Furniture,535,170
2024-04-09,Office Supplies,385,110
2024-04-10,Technology,710,245
2024-04-11,Furniture,545,180
2024-04-12,Office Supplies,405,120
